VideoId,View Count,Average Comment Length
EkHTsc9PU2A,203641448,9.94751082251
3VVuMIB2hC0,98690503,7.26740665994
nxKtovhnrqc,82221180,10.9274193548
lWyO7uJdGQA,77711491,8.8824120603
SeHXpWkRkxo,61339711,10.0527903469
w0ffwDYo00Q,52957116,8.17555555556
HIRNdveLnJI,48033425,13.6325581395
vcWTTs8QVRc,45196954,11.2185128983
4rb8aOzy9t4,39430487,8.30512820513
9JhuOicPFZY,38751327,12.2010178117
nhSZs-aAZbo,36781024,1.5
OjIlocYE_Wc,36216447,9.98958333333
wgrrQwLdME8,35534000,8.48411497731
SO9Lj0T93Xk,35296233,13.8684064409
gWqI0U3pBdA,32942330,8.53511874684
0bWJGrG_i8Y,31994460,8.72606774669
lt6PVVr4B04,30742327,12.6206030151
dInYRH8FpUk,29671443,8.7935819601
GxxsP7VWVN8,29405434,11.27702363
aLZd2iBQYPY,28947931,7.77359437751
2cjv7hEAytU,28673169,18.9007960808
LYMDXK9ZpxQ,27390017,12.7672727273
vlIm-riMN6Q,27258589,12.496969697
6rPjzJUG1l0,26363425,30.04
uFQUQkeJjo4,25837926,8.33164300203
w2xUzv6iZWo,25371166,13.219895288
0xyxtzD54rM,24997041,9.39119652821
Z-_gXKKD5Kw,24116414,16.3606557377
4wnShj_q4Oc,24073947,7.2927191679
7ox2Dn4MEl0,23763356,10.0772179628
7M-jsjLB20Y,23406032,8.90181268882
KJWZSEkCrAM,23380522,12.3174603175
TqQiwmwXZOA,23291869,9.39343434343
WShY1ObPvhQ,22020512,14.5054545455
wiG-TgYjHP8,21837131,9.62923621649
P9LmHXXWiJs,21675164,9.52530364372
vXu1lEa-NuQ,21667034,11.277665996
pBwi_NNwTvY,20946541,11.5944558522
PZR12iqua-I,20867033,9.69678714859
6OkcucXIuVI,20637535,6.08610670893
2oyhlad64-s,20535918,11.2720264317
Ahg6qcgoay4,20394281,13.6653286503
Ktgsn_G59os,19623052,8.0
9IrWyZ0KZuk,19020190,11.8648920141
2TaAceHgyFE,18147106,9.76209677419
oOdE6ohps_g,17954251,9.19838465422
W8e4Vgu4Uys,16585407,7.81161616162
W1czBcnX1Ww,16560739,11.7108190091
x5VdYqd6CdA,16483224,11.9808333333
9AWH0C_cDSk,16477493,12.0
ko8gepM8MBU,16407086,9.94620412267
GpG7NAjw1ms,16257447,24.6192152918
pnti7nO6Ioc,16163315,19.4249621021
UAQcNo9yWbM,15965909,13.7748110831
FQt-h753jHI,15423376,9.90483383686
15S0g8pG6HU,15384367,11.0367573011
pd8yrQTl_Ow,15260563,13.2933737987
pGmO-jcKENQ,15182280,11.6442647802
dhgLoanz1b4,15050127,11.517884131
yH8b5ruc_-E,14875468,9.6629667003
UaU5JLMvqU0,14624683,11.6021505376
vzpD6OogahQ,13952839,8.25681130172
7VTjBjejlNE,13799843,8.14314618108
Mf0arR7dCQ4,13774165,13.5463709677
xef0Fzu0W1Y,13613796,8.99339207048
mv-E8gb3d84,13428332,10.3015075377
kXeamc7e31c,13025204,11.7154554759
MPGjZ4gjOR8,12632694,12.3432180121
agPMMLqkXGg,12371208,12.7724137931
F1iM9mMiiNI,12222724,12.5929411765
